episode,t,action,reward,remaining_plays,remaining_discards,hand_before,cards,deck_remaining,advantage,subset
58,5,discard,88.0,2,1,"[""4H"", ""8S"", ""4D"", ""3H"", ""10D"", ""7C"", ""11S"", ""3C""]","[""4H"", ""8S"", ""7C"", ""11S""]","[""2H"", ""5H"", ""7H"", ""8H"", ""9H"", ""12D"", ""13D"", ""6C"", ""9C"", ""12C"", ""6S""]",87.98292213946581,discard_top10
48,5,discard,88.0,1,2,"[""8C"", ""4S"", ""2H"", ""12H"", ""1H"", ""5C"", ""9H"", ""11S""]","[""4S"", ""5C"", ""9H"", ""11S""]","[""7H"", ""8H"", ""11H"", ""2D"", ""4C"", ""1S"", ""2S"", ""5S""]",87.94186161756515,discard_top10
71,7,discard,88.0,1,0,"[""5C"", ""8H"", ""7H"", ""10D"", ""3D"", ""2S"", ""12C"", ""1D""]","[""8H"", ""2S"", ""12C""]","[""5D"", ""3S""]",87.91341247320175,discard_top10
36,6,discard,88.0,1,1,"[""1H"", ""6S"", ""1D"", ""2H"", ""8D"", ""2C"", ""11H"", ""1C""]","[""6S"", ""2H"", ""8D"", ""2C"", ""11H"", ""1C""]","[""11D"", ""13C""]",87.69051889538765,discard_top10
79,6,discard,84.0,1,1,"[""1C"", ""1H"", ""13S"", ""10C"", ""11S"", ""10H"", ""4D"", ""7D""]","[""4D"", ""7D""]","[""6H"", ""11H"", ""1S"", ""3S""]",84.41758453071117,discard_top10
2,6,discard,83.0,1,1,"[""5C"", ""6C"", ""9S"", ""4H"", ""1H"", ""8D"", ""3D"", ""4C""]","[""5C"", ""6C"", ""1H"", ""8D"", ""3D"", ""4C""]",[],83.02122031331062,discard_top10
43,5,discard,80.0,2,1,"[""8D"", ""5D"", ""4S"", ""7H"", ""1D"", ""13C"", ""11S"", ""11D""]","[""8D"", ""1D"", ""13C"", ""11D""]","[""9H"", ""10H"", ""11H"", ""12H"", ""2D"", ""4D"", ""12D"", ""3C"", ""11C"", ""1S"", ""3S"", ""12S""]",80.37533886056393,discard_top10
51,4,discard,78.0,2,2,"[""4D"", ""9S"", ""5H"", ""10C"", ""1S"", ""6H"", ""8C"", ""1C""]","[""4D"", ""10C"", ""1S"", ""6H"", ""8C"", ""1C""]","[""2H"", ""10H"", ""2C"", ""3C"", ""4C"", ""7C"", ""11C"", ""3S"", ""5S"", ""6S"", ""10S"", ""11S"", ""12S"", ""13S""]",78.04584593862295,discard_top10
50,7,discard,76.0,1,0,"[""4H"", ""7D"", ""6C"", ""9S"", ""7H"", ""12H"", ""9H"", ""10S""]","[""4H"", ""9S"", ""12H"", ""9H"", ""10S""]","[""4C""]",75.61390847504138,discard_top10
84,5,discard,72.0,2,1,"[""4H"", ""8S"", ""9H"", ""9D"", ""11C"", ""1D"", ""5C"", ""13H""]","[""8S"", ""1D"", ""13H""]","[""5H"", ""6H"", ""8H"", ""11H"", ""12H"", ""4D"", ""6D"", ""3C"", ""7C"", ""1S"", ""4S"", ""5S"", ""13S""]",72.02482372492551,discard_top10
69,4,discard,71.0,2,2,"[""9C"", ""12H"", ""2S"", ""3C"", ""8C"", ""13S"", ""6C"", ""1D""]","[""2S"", ""3C"", ""6C"", ""1D""]","[""5H"", ""7H"", ""13H"", ""4D"", ""6D"", ""9D"", ""13D"", ""2C"", ""5C"", ""7C"", ""12C"", ""1S"", ""3S"", ""4S"", ""8S"", ""11S""]",71.40789433658124,discard_top10
89,3,discard,71.0,3,2,"[""10H"", ""13H"", ""2D"", ""11C"", ""8S"", ""5H"", ""4S"", ""12S""]","[""10H"", ""2D"", ""11C"", ""5H"", ""4S""]","[""3H"", ""4H"", ""6H"", ""11H"", ""12H"", ""6D"", ""8D"", ""9D"", ""12D"", ""2C"", ""3C"", ""4C"", ""5C"", ""6C"", ""7C"", ""8C"", ""9C"", ""10C"", ""12C"", ""1S"", ""6S"", ""11S"", ""13S""]",71.19332071602345,discard_top10
52,2,discard,67.0,4,2,"[""1C"", ""3H"", ""11S"", ""12D"", ""2D"", ""13D"", ""7H"", ""6C""]","[""1C"", ""12D"", ""13D"", ""7H"", ""6C""]","[""1H"", ""2H"", ""6H"", ""9H"", ""10H"", ""11H"", ""12H"", ""13H"", ""1D"", ""3D"", ""5D"", ""7D"", ""8D"", ""10D"", ""11D"", ""3C"", ""4C"", ""7C"", ""8C"", ""10C"", ""12C"", ""13C"", ""2S"", ""3S"", ""4S"", ""5S"", ""6S"", ""7S"", ""8S"", ""12S"", ""13S""]",67.05330782622099,discard_top10
78,3,discard,60.0,3,2,"[""1D"", ""12C"", ""6C"", ""10S"", ""3S"", ""8H"", ""12H"", ""4S""]","[""1D"", ""3S"", ""8H""]","[""1H"", ""2H"", ""3H"", ""4H"", ""5H"", ""6H"", ""7H"", ""10H"", ""11H"", ""7D"", ""8D"", ""9D"", ""11D"", ""1C"", ""3C"", ""4C"", ""5C"", ""8C"", ""10C"", ""11C"", ""1S"", ""2S"", ""7S"", ""9S"", ""11S""]",60.78953084334731,discard_top10
44,3,discard,60.0,3,2,"[""5H"", ""6C"", ""3D"", ""10D"", ""13H"", ""5D"", ""8S"", ""1D""]","[""5H"", ""3D"", ""10D"", ""5D""]","[""1H"", ""8H"", ""9H"", ""11H"", ""12H"", ""4D"", ""8D"", ""9D"", ""11D"", ""12D"", ""2C"", ""3C"", ""4C"", ""5C"", ""7C"", ""8C"", ""11C"", ""13C"", ""1S"", ""2S"", ""3S"", ""4S"", ""9S"", ""12S""]",60.292089453935624,discard_top10
90,6,discard,60.0,1,1,"[""1S"", ""3S"", ""8D"", ""10S"", ""10D"", ""12S"", ""4C"", ""3D""]","[""8D"", ""12S"", ""3D""]","[""11C"", ""8S""]",59.975373238921165,discard_top10
16,5,discard,59.0,3,0,"[""2H"", ""5D"", ""2S"", ""1C"", ""13H"", ""1D"", ""12D"", ""6H""]","[""2S"", ""1C"", ""1D"", ""12D"", ""6H""]","[""8H"", ""9H"", ""2D"", ""3D"", ""11D"", ""7C"", ""9C"", ""12C"", ""3S"", ""6S"", ""7S"", ""8S"", ""9S""]",59.16412754252553,discard_top10
