episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,play_ratio
13000,102798,762.8266666666667,602.0,602.0,361.2153333333334,323.41,323.41,1412.0,0.03734177215189874,0.625
13100,103588,567.6533333333334,360.0,360.0,363.2790666666667,309.97,309.97,1412.0,0.03734177215189874,0.625
13200,104380,452.74666666666667,488.0,488.0,398.92946666666654,318.31,318.31,1412.0,0.03734177215189874,0.625
13300,105177,258.05333333333334,300.0,300.0,390.8405333333334,339.6,339.6,1412.0,0.03734177215189874,0.625
13400,105968,596.8133333333333,349.0,349.0,440.1661333333333,352.22,352.22,1412.0,0.03734177215189874,0.625
13500,106762,421.29333333333335,207.0,207.0,400.06640000000004,313.9,313.9,1412.0,0.03683544303797469,0.625
13600,107551,209.49333333333334,134.0,134.0,408.0317333333333,332.66,332.66,1412.0,0.03683544303797469,0.625
13700,108345,224.46666666666667,271.0,271.0,364.5937333333334,311.93,311.93,1412.0,0.03683544303797469,0.625
13800,109136,282.24,194.0,194.0,359.5646666666666,333.89,333.89,1412.0,0.03683544303797469,0.625
13900,109925,-129.48000000000002,155.0,155.0,398.7319999999999,320.24,320.24,1412.0,0.03683544303797469,0.625
14000,110710,625.96,515.0,515.0,366.2110666666667,300.77,300.77,1412.0,0.03632911392405064,0.7142857142857143
14100,111496,287.4,303.0,303.0,317.67426666666665,300.35,300.35,1412.0,0.03632911392405064,0.625
14200,112289,281.4266666666667,221.0,221.0,369.7750666666667,326.55,326.55,1412.0,0.03632911392405064,0.625
14300,113073,184.74666666666667,294.0,294.0,402.37,341.47,341.47,1412.0,0.03632911392405064,0.625
14400,113868,582.8266666666667,478.0,478.0,368.78839999999997,302.15,302.15,1412.0,0.03632911392405064,0.625
14500,114657,88.17333333333335,187.0,187.0,387.5941333333334,325.0,325.0,1412.0,0.03632911392405064,0.625
14600,115451,259.85333333333335,285.0,285.0,367.07946666666663,311.48,311.48,1412.0,0.03582278481012659,0.625
14700,116246,135.4,191.0,191.0,356.5816,296.0,296.0,1412.0,0.03582278481012659,0.625
14800,117037,160.10666666666665,268.0,268.0,408.6732,347.99,347.99,1412.0,0.03582278481012659,0.625
14900,117818,574.4933333333333,443.0,443.0,391.1805333333333,336.84,336.84,1436.0,0.03582278481012659,0.625
15000,118597,456.4,426.0,426.0,458.59026666666665,385.77,385.77,1436.0,0.03582278481012659,0.8333333333333334
15100,119388,806.6266666666667,675.0,675.0,398.84039999999993,319.73,319.73,1436.0,0.03531645569620254,0.625
15200,120173,509.17333333333335,434.0,434.0,412.3496,345.64,345.64,1436.0,0.03531645569620254,0.625
15300,120965,569.5466666666666,502.0,502.0,429.3509333333334,341.98,341.98,1436.0,0.03531645569620254,0.8333333333333334
15400,121751,673.6133333333333,685.0,685.0,401.04560000000004,346.8,346.8,1436.0,0.03531645569620254,0.625
15500,122536,85.29333333333334,191.0,191.0,447.56239999999997,368.8,368.8,1436.0,0.03531645569620254,0.625
15600,123326,256.2266666666667,283.0,283.0,409.5060000000001,356.49,356.49,1436.0,0.034810126582278486,0.625
15700,124106,163.73333333333335,292.0,292.0,340.8136,331.62,331.62,1436.0,0.034810126582278486,0.625
15800,124897,491.40000000000003,279.0,279.0,392.6417333333333,341.49,341.49,1436.0,0.034810126582278486,0.625
15900,125691,538.2666666666667,356.0,356.0,413.31626666666676,339.14,339.14,1436.0,0.034810126582278486,0.625
16000,126478,839.2533333333333,748.0,748.0,368.52106666666657,322.78,322.78,1436.0,0.034810126582278486,0.625
16100,127265,282.7066666666667,259.0,259.0,400.39973333333336,343.56,343.56,1436.0,0.034303797468354436,0.8333333333333334
16200,128047,195.98666666666665,255.0,255.0,430.23706666666664,373.22,373.22,1436.0,0.034303797468354436,0.625
16300,128829,132.26666666666665,282.0,282.0,394.8446666666667,331.15,331.15,1436.0,0.034303797468354436,0.625
16400,129612,109.10666666666665,161.0,161.0,407.9614666666666,340.99,340.99,1436.0,0.034303797468354436,0.7142857142857143
16500,130398,335.17333333333335,320.0,320.0,411.67746666666665,349.97,349.97,1436.0,0.034303797468354436,0.8333333333333334
16600,131175,560.0533333333333,352.0,352.0,371.82400000000007,308.02,308.02,1436.0,0.033797468354430385,0.625
16700,131958,393.32,317.0,317.0,388.0390666666667,330.93,330.93,1436.0,0.033797468354430385,0.625
16800,132737,259.85333333333335,121.0,121.0,344.68146666666667,311.63,311.63,1436.0,0.033797468354430385,0.625
16900,133521,480.88,244.0,244.0,417.3722666666667,349.5,349.5,1436.0,0.033797468354430385,0.625
17000,134307,384.64,196.0,196.0,388.792,325.14,325.14,1436.0,0.033797468354430385,0.625
17100,135102,408.3466666666667,324.0,324.0,400.5985333333333,327.11,327.11,1436.0,0.033797468354430385,0.8333333333333334
17200,135890,341.70666666666665,286.0,286.0,376.2618666666666,325.8,325.8,1436.0,0.033291139240506334,0.8333333333333334
17300,136686,383.3866666666667,252.0,252.0,403.2838666666667,327.49,327.49,1436.0,0.033291139240506334,0.625
17400,137462,440.46666666666664,543.0,543.0,415.9937333333333,342.15,342.15,1436.0,0.033291139240506334,0.625
17500,138246,98.9733333333333,213.0,213.0,383.5857333333334,326.15,326.15,1436.0,0.033291139240506334,0.625
17600,139030,95.12,170.0,170.0,399.08506666666676,319.26,319.26,1436.0,0.033291139240506334,0.625
17700,139823,176.7733333333333,128.0,128.0,362.71986666666663,319.27,319.27,1436.0,0.032784810126582284,0.625
17800,140609,520.9733333333334,239.0,239.0,419.13026666666667,338.03,338.03,1436.0,0.032784810126582284,0.625
17900,141393,550.96,724.0,724.0,376.7245333333334,344.38,344.38,1436.0,0.032784810126582284,0.625
18000,142180,125.33333333333333,178.0,178.0,404.8441333333333,333.23,333.23,1436.0,0.032784810126582284,0.625
18100,142974,241.78666666666666,288.0,288.0,371.9626666666667,319.62,319.62,1436.0,0.032784810126582284,0.625
18200,143767,237.8,207.0,207.0,429.8892000000001,350.85,350.85,1436.0,0.03227848101265823,0.7142857142857143
18300,144548,270.8666666666667,171.0,171.0,398.9824,319.76,319.76,1436.0,0.03227848101265823,0.625
18400,145332,420.9866666666667,274.0,274.0,411.9918666666666,342.45,342.45,1436.0,0.03227848101265823,0.625
18500,146122,279.5866666666667,161.0,161.0,417.9718666666667,341.69,341.69,1436.0,0.03227848101265823,0.625
18600,146910,328.50666666666666,186.0,186.0,429.6938666666667,352.84,352.84,1436.0,0.03227848101265823,0.625
18700,147698,493.26666666666665,319.0,319.0,415.5800000000001,360.52,360.52,1436.0,0.03177215189873418,0.625
18800,148487,247.17333333333335,172.0,172.0,388.07719999999995,330.31,330.31,1436.0,0.03177215189873418,0.625
18900,149282,600.3333333333333,333.0,333.0,391.3185333333334,338.29,338.29,1436.0,0.03177215189873418,0.625
19000,150076,287.16,205.0,205.0,426.1142666666668,335.95,335.95,1436.0,0.03177215189873418,0.625
19100,150863,1271.3600000000001,1042.0,1042.0,435.3414666666667,353.41,353.41,1436.0,0.03177215189873418,0.625
19200,151656,453.38666666666666,474.0,474.0,437.18160000000006,362.18,362.18,1436.0,0.03126582278481013,0.625
19300,152449,578.2266666666667,371.0,371.0,403.3075999999999,342.63,342.63,1436.0,0.03126582278481013,0.625
19400,153240,563.12,624.0,624.0,458.62800000000004,364.16,364.16,1436.0,0.03126582278481013,0.625
19500,154034,93.49333333333331,224.0,224.0,415.7192,346.12,346.12,1436.0,0.03126582278481013,0.7142857142857143
19600,154829,467.81333333333333,190.0,190.0,407.7854666666666,345.45,345.45,1436.0,0.03126582278481013,0.625
19700,155622,764.92,529.0,529.0,431.5492,332.95,332.95,1436.0,0.03126582278481013,0.625
19800,156419,307.92,182.0,182.0,399.30133333333333,333.0,333.0,1436.0,0.030759493670886078,0.625
19900,157210,298.08,330.0,330.0,448.9902666666666,363.25,363.25,1436.0,0.030759493670886078,0.625
20000,158008,-17.133333333333326,183.0,183.0,443.7032,360.26,360.26,1436.0,0.030759493670886078,0.625
20100,158804,1009.7466666666667,871.0,871.0,382.29519999999997,345.12,345.12,1436.0,0.030759493670886078,0.625
20200,159602,323.1733333333333,512.0,512.0,419.55133333333333,363.15,363.15,1436.0,0.030759493670886078,0.625
20300,160398,517.8399999999999,432.0,432.0,387.23853333333324,319.09,319.09,1436.0,0.030253164556962028,0.625
20400,161197,288.0,152.0,152.0,391.60866666666664,330.33,330.33,1436.0,0.030253164556962028,0.625
20500,161989,448.6933333333333,388.0,388.0,389.13613333333336,311.83,311.83,1436.0,0.030253164556962028,0.625
20600,162785,23.666666666666657,187.0,187.0,436.3728,344.28,344.28,1436.0,0.030253164556962028,0.625
20700,163581,233.51999999999998,342.0,342.0,401.18986666666655,344.74,344.74,1436.0,0.030253164556962028,0.8333333333333334
20800,164374,113.95999999999998,199.0,199.0,415.9145333333334,344.07,344.07,1436.0,0.029746835443037977,0.8333333333333334
20900,165164,905.4933333333333,662.0,662.0,440.5677333333333,354.22,354.22,1436.0,0.029746835443037977,0.625
21000,165960,565.5733333333333,426.0,426.0,432.6513333333334,354.91,354.91,1436.0,0.029746835443037977,0.625
21100,166752,370.64000000000004,216.0,216.0,431.88346666666666,347.24,347.24,1588.0,0.029746835443037977,0.625
21200,167552,542.7066666666667,435.0,435.0,451.0253333333333,360.38,360.38,1588.0,0.029746835443037977,0.625
21300,168352,121.07999999999998,243.0,243.0,399.72066666666666,339.73,339.73,1588.0,0.029240506329113927,0.625
21400,169141,402.73333333333335,167.0,167.0,404.3854666666667,324.11,324.11,1588.0,0.029240506329113927,0.625
21500,169938,691.3066666666666,624.0,624.0,405.2757333333333,321.3,321.3,1588.0,0.029240506329113927,0.625
21600,170733,80.73333333333335,177.0,177.0,387.59039999999993,343.18,343.18,1588.0,0.029240506329113927,0.625
21700,171530,440.06666666666666,255.0,255.0,433.01813333333325,352.14,352.14,1588.0,0.029240506329113927,0.625
21800,172326,477.2266666666667,328.0,328.0,442.36840000000007,355.95,355.95,1588.0,0.02873417721518988,0.625
21900,173123,288.29333333333335,360.0,360.0,460.6505333333334,386.51,386.51,1588.0,0.02873417721518988,0.625
22000,173916,299.5333333333333,137.0,137.0,407.78293333333335,345.68,345.68,1588.0,0.02873417721518988,0.625
22100,174710,251.94666666666666,200.0,200.0,403.8958666666667,331.75,331.75,1588.0,0.02873417721518988,0.625
22200,175502,353.49333333333334,286.0,286.0,437.63706666666667,372.84,372.84,1588.0,0.02873417721518988,0.625
22300,176291,1259.76,1092.0,1092.0,432.67466666666667,364.34,364.34,1588.0,0.028227848101265825,0.625
22400,177081,256.4133333333333,307.0,307.0,385.13439999999986,327.8,327.8,1588.0,0.028227848101265825,0.625
22500,177866,352.37333333333333,246.0,246.0,419.4041333333333,357.43,357.43,1588.0,0.028227848101265825,0.7142857142857143
22600,178660,292.44,319.0,319.0,397.2885333333334,366.34,366.34,1588.0,0.028227848101265825,0.7142857142857143
22700,179454,262.81333333333333,345.0,345.0,424.7989333333333,363.72,363.72,1588.0,0.028227848101265825,0.625
22800,180252,905.8933333333333,1002.0,1002.0,414.3942666666667,351.37,351.37,1588.0,0.027721518987341775,0.625
22900,181044,227.89333333333335,244.0,244.0,391.3025333333333,345.39,345.39,1588.0,0.027721518987341775,0.625
23000,181836,353.9866666666667,231.0,231.0,417.7982666666666,353.33,353.33,1588.0,0.027721518987341775,0.625
23100,182626,1046.8400000000001,683.0,683.0,432.2338666666667,367.3,367.3,1588.0,0.027721518987341775,0.625
23200,183415,495.30666666666673,304.0,304.0,385.7942666666666,331.65,331.65,1588.0,0.027721518987341775,0.625
23300,184206,316.64,344.0,344.0,429.1132,365.43,365.43,1588.0,0.027721518987341775,0.625
23400,185003,494.32000000000005,212.0,212.0,420.13293333333337,345.57,345.57,1588.0,0.02721518987341772,0.625
23500,185793,585.6533333333333,352.0,352.0,429.76826666666676,350.66,350.66,1588.0,0.02721518987341772,0.625
23600,186586,354.4266666666667,142.0,142.0,458.8937333333333,360.51,360.51,1588.0,0.02721518987341772,0.625
23700,187379,594.6800000000001,433.0,433.0,426.75773333333336,353.39,353.39,1588.0,0.02721518987341772,0.625
23800,188177,476.3466666666667,370.0,370.0,430.26173333333327,370.27,370.27,1588.0,0.02721518987341772,0.625
23900,188974,432.5733333333333,231.0,231.0,398.9309333333333,335.16,335.16,1588.0,0.026708860759493674,0.625
24000,189765,673.7333333333333,536.0,536.0,395.10133333333323,337.04,337.04,1588.0,0.026708860759493674,0.625
24100,190564,241.06666666666663,310.0,310.0,431.6062666666666,353.59,353.59,1588.0,0.026708860759493674,0.625
24200,191360,510.49333333333334,399.0,399.0,429.38613333333325,346.14,346.14,1588.0,0.026708860759493674,0.625
24300,192159,626.3866666666667,527.0,527.0,399.80653333333333,364.17,364.17,1588.0,0.026708860759493674,0.625
24400,192955,491.4266666666667,347.0,347.0,441.68519999999995,357.77,357.77,1588.0,0.026202531645569623,0.625
24500,193748,762.8933333333333,569.0,569.0,470.41986666666674,386.05,386.05,1588.0,0.026202531645569623,0.625
24600,194541,451.30666666666673,236.0,236.0,409.1491999999999,358.83,358.83,1588.0,0.026202531645569623,0.7142857142857143
24700,195333,199.5066666666666,319.0,319.0,398.4476000000001,322.63,322.63,1588.0,0.026202531645569623,0.625
24800,196123,388.56,352.0,352.0,442.07239999999996,373.05,373.05,1588.0,0.026202531645569623,0.625
24900,196912,471.02666666666664,407.0,407.0,435.15119999999996,344.42,344.42,1588.0,0.025696202531645573,0.8333333333333334
25000,197703,201.89333333333332,270.0,270.0,397.06533333333334,355.26,355.26,1588.0,0.025696202531645573,0.625
