episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,coef_dis
12300,84378,60.49,74.0,78.0,213.34340000000003,213.79,219.94,1187.0,0.0434959349593496,0.8
12400,85006,207.0,207.0,215.0,211.18519999999998,213.64,219.96,1187.0,0.0434959349593496,0.8
12500,85641,267.46000000000004,249.0,251.0,223.00819999999996,219.87,225.56,1187.0,0.0434959349593496,0.8
12600,86256,275.0,275.0,279.0,221.0575,213.8,220.18,1187.0,0.04317073170731708,0.8
12700,86908,140.05,113.0,122.0,224.15159999999997,219.04,225.75,1187.0,0.04317073170731708,0.8
12800,87547,209.22,176.0,187.0,225.45080000000002,222.19,228.49,1187.0,0.04317073170731708,0.8
12900,88197,160.72,152.0,159.0,221.50420000000003,221.44,228.09,1187.0,0.04317073170731708,0.8
13000,88843,206.26,171.0,180.0,227.25799999999998,225.29,231.95,1187.0,0.04317073170731708,0.8
13100,89472,187.25,190.0,195.0,207.7886,211.16,217.25,1187.0,0.04317073170731708,0.8
13200,90105,195.0,195.0,202.0,195.80070000000003,196.24,202.85,1187.0,0.04317073170731708,0.8
13300,90780,243.7,231.0,236.0,215.64419999999998,208.88,215.83,1187.0,0.042845528455284554,0.8
13400,91440,146.78,131.0,138.0,225.7703,219.35,226.46,1187.0,0.042845528455284554,0.8
13500,92117,239.5,169.0,179.0,226.9478,219.88,227.0,1187.0,0.042845528455284554,0.8
13600,92772,498.33,507.0,516.0,221.07770000000005,220.4,227.25,1187.0,0.042845528455284554,0.8
13700,93445,166.37,216.0,224.0,237.8396,240.04,246.8,1187.0,0.042845528455284554,0.8
13800,94104,191.77,194.0,198.0,224.69820000000004,223.28,230.46,1187.0,0.042845528455284554,0.8
13900,94758,289.78999999999996,246.0,248.0,237.50400000000002,229.66,236.85,1187.0,0.04252032520325204,0.8
14000,95402,204.68,186.0,195.0,231.83489999999998,228.15,235.36,1187.0,0.04252032520325204,0.8
14100,96065,127.49,158.0,166.0,223.11860000000001,225.9,232.88,1187.0,0.04252032520325204,0.8
14200,96717,188.4,149.0,155.0,238.9073,236.96,244.54,1187.0,0.04252032520325204,0.8
14300,97382,172.06,150.0,161.0,214.1938,212.24,219.34,1187.0,0.04252032520325204,0.8
14400,98037,270.05,275.0,282.0,215.4167,219.82,227.13,1187.0,0.04252032520325204,0.8
14500,98703,71.34,113.0,121.0,220.90200000000002,215.06,221.99,1187.0,0.042195121951219515,0.8
14600,99382,153.92000000000002,191.0,199.0,235.1131,229.53,236.76,1187.0,0.042195121951219515,0.8
14700,100061,228.54,173.0,182.0,242.89180000000005,229.91,236.93,1187.0,0.042195121951219515,0.8
14800,100763,317.0,317.0,324.0,243.715,237.63,244.86,1187.0,0.042195121951219515,0.8
14900,101423,292.3,278.0,284.0,240.91319999999996,233.48,240.65,1187.0,0.042195121951219515,0.8
15000,102110,277.01,324.0,329.0,246.1042,247.42,254.37,1187.0,0.042195121951219515,0.8
15100,102790,123.88,125.0,135.0,233.07530000000003,226.97,233.97,1187.0,0.04186991869918699,0.8
15200,103453,262.75,310.0,317.0,234.5844,226.61,233.89,1187.0,0.04186991869918699,0.8
15300,104131,139.42000000000002,213.0,219.0,218.43019999999996,217.93,224.77,1187.0,0.04186991869918699,0.8
15400,104825,634.5,567.0,572.0,249.44980000000004,243.05,250.15,1187.0,0.04186991869918699,0.8
15500,105509,954.83,930.0,935.0,252.12760000000003,240.03,247.18,1187.0,0.04186991869918699,0.8
15600,106184,287.74,280.0,289.0,203.0232,201.23,208.58,1187.0,0.04186991869918699,0.8
15700,106874,212.0,212.0,219.0,231.17880000000002,226.37,233.33,1187.0,0.041544715447154476,0.8
15800,107553,309.71000000000004,281.0,288.0,233.84310000000002,230.92,237.79,1187.0,0.041544715447154476,0.8
15900,108257,314.98,261.0,268.0,268.8936,259.03,266.01,1187.0,0.041544715447154476,0.8
16000,108968,233.88,165.0,167.0,221.87030000000001,211.09,218.16,1187.0,0.041544715447154476,0.8
16100,109672,225.68,199.0,204.0,240.02720000000005,236.77,243.77,1187.0,0.041544715447154476,0.8
16200,110377,177.49,141.0,153.0,243.13790000000006,235.52,242.72,1187.0,0.041544715447154476,0.8
16300,111096,183.78,174.0,184.0,253.96550000000002,238.82,245.83,1187.0,0.04121951219512195,0.8
