episode,t,action,reward,remaining_plays,remaining_discards,hand_before,cards,deck_remaining,advantage
10,1,play,99.0,4,3,"[""3S"", ""10C"", ""4D"", ""11C"", ""7H"", ""1D"", ""1H"", ""1C""]","[""3S"", ""10C"", ""4D"", ""11C"", ""7H"", ""1D"", ""1H"", ""1C""]","[""3H"", ""4H"", ""5H"", ""6H"", ""8H"", ""9H"", ""10H"", ""12H"", ""2D"", ""3D"", ""5D"", ""6D"", ""8D"", ""9D"", ""10D"", ""11D"", ""12D"", ""13D"", ""2C"", ""3C"", ""4C"", ""5C"", ""6C"", ""7C"", ""8C"", ""9C"", ""12C"", ""13C"", ""4S"", ""5S"", ""6S"", ""7S"", ""10S"", ""11S"", ""12S"", ""13S""]",12.481704406738345
10,2,play,28.0,3,3,"[""2H"", ""1S"", ""13H"", ""7D"", ""9S"", ""8S"", ""11H"", ""2S""]","[""2H"", ""1S"", ""13H"", ""7D"", ""9S"", ""8S"", ""11H"", ""2S""]","[""3H"", ""4H"", ""5H"", ""6H"", ""10H"", ""12H"", ""2D"", ""3D"", ""5D"", ""6D"", ""9D"", ""10D"", ""11D"", ""12D"", ""13D"", ""3C"", ""4C"", ""5C"", ""8C"", ""9C"", ""12C"", ""13C"", ""4S"", ""6S"", ""7S"", ""11S"", ""12S"", ""13S""]",-61.919996948242215
10,3,play,280.0,2,3,"[""6C"", ""2C"", ""5S"", ""8D"", ""8H"", ""7C"", ""9H"", ""10S""]","[""6C"", ""2C"", ""5S"", ""8D"", ""8H"", ""7C"", ""9H"", ""10S""]","[""3H"", ""4H"", ""5H"", ""10H"", ""12H"", ""5D"", ""6D"", ""9D"", ""10D"", ""11D"", ""12D"", ""3C"", ""4C"", ""5C"", ""8C"", ""9C"", ""6S"", ""7S"", ""11S"", ""13S""]",133.5578698730469
10,4,play,140.0,1,3,"[""13D"", ""12C"", ""13C"", ""12S"", ""6H"", ""2D"", ""3D"", ""4S""]","[""13D"", ""12C"", ""13C"", ""12S"", ""6H"", ""2D"", ""3D"", ""4S""]","[""4H"", ""5H"", ""9D"", ""10D"", ""11D"", ""3C"", ""4C"", ""5C"", ""6S"", ""7S"", ""11S"", ""13S""]",43.5177032470703
10,5,play,68.0,0,3,"[""8C"", ""12H"", ""6D"", ""12D"", ""3H"", ""9C"", ""10H"", ""5D""]","[""8C"", ""12H"", ""6D"", ""12D"", ""3H"", ""9C"", ""10H"", ""5D""]","[""9D"", ""10D"", ""11D"", ""4C""]",-91.75921630859375
11,1,play,320.0,4,3,"[""1D"", ""6H"", ""6S"", ""12H"", ""11C"", ""10S"", ""6C"", ""11D""]","[""1D"", ""6H"", ""6S"", ""12H"", ""11C"", ""10S"", ""6C"", ""11D""]","[""1H"", ""2H"", ""3H"", ""4H"", ""5H"", ""7H"", ""8H"", ""10H"", ""13H"", ""2D"", ""3D"", ""4D"", ""5D"", ""6D"", ""7D"", ""9D"", ""10D"", ""12D"", ""13D"", ""1C"", ""2C"", ""4C"", ""7C"", ""8C"", ""9C"", ""12C"", ""13C"", ""1S"", ""2S"", ""4S"", ""7S"", ""8S"", ""9S"", ""11S"", ""12S"", ""13S""]",187.293069152832
11,2,play,72.0,3,3,"[""5S"", ""3C"", ""3S"", ""9H"", ""11H"", ""8D"", ""10C"", ""5C""]","[""5S"", ""3C"", ""3S"", ""9H"", ""11H"", ""8D"", ""10C"", ""5C""]","[""1H"", ""2H"", ""3H"", ""4H"", ""5H"", ""7H"", ""8H"", ""10H"", ""13H"", ""3D"", ""4D"", ""5D"", ""6D"", ""7D"", ""9D"", ""10D"", ""12D"", ""13D"", ""1C"", ""2C"", ""4C"", ""7C"", ""8C"", ""12C"", ""1S"", ""4S"", ""8S"", ""12S""]",-57.678458862304694
11,3,play,308.0,2,3,"[""11S"", ""9C"", ""2D"", ""7S"", ""2S"", ""13S"", ""13C"", ""9S""]","[""11S"", ""9C"", ""2D"", ""7S"", ""2S"", ""13S"", ""13C"", ""9S""]","[""1H"", ""2H"", ""3H"", ""4H"", ""5H"", ""7H"", ""8H"", ""13H"", ""6D"", ""7D"", ""9D"", ""10D"", ""12D"", ""1C"", ""2C"", ""4C"", ""7C"", ""12C"", ""1S"", ""4S""]",178.51657119750973
11,4,play,52.0,1,3,"[""12S"", ""8C"", ""8S"", ""3D"", ""10H"", ""5D"", ""4D"", ""13D""]","[""12S"", ""8C"", ""8S"", ""3D"", ""10H"", ""5D"", ""4D"", ""13D""]","[""1H"", ""2H"", ""7H"", ""8H"", ""13H"", ""7D"", ""9D"", ""10D"", ""2C"", ""4C"", ""1S"", ""4S""]",-74.0922258758545
11,5,play,220.0,0,3,"[""5H"", ""7C"", ""3H"", ""6D"", ""12D"", ""4H"", ""12C"", ""1C""]","[""5H"", ""7C"", ""3H"", ""6D"", ""12D"", ""4H"", ""12C"", ""1C""]","[""2H"", ""10D"", ""1S"", ""4S""]",128.22965240478516
